m,n,r,Edges,Subset Size,Coverage,Number of Cuts,Cut Density(%),Separation Time (s),Running Time (s),Gap (%)
25,125,11,1500,48.0,48.0,125,19.584,0.99472,124.58,0.0001
25,100,12,2000,80.0,80.0,625,11.9168,0.189284,119.45,0.0001
25,75,14,1725,92.0,92.0,248,8.27419,0.03048,8.02,0.0001
25,50,15,1000,80.0,80.0,353,11.3994,0.197451,70.9,0.0001
25,25,16,300,48.0,48.0,122,13.4754,0.1325,16.63,0.0001
50,250,22,6250,50.0,50.0,68,10,4.81323,327.52,0.0001
50,200,25,8000,80.0,80.0,53,6,2.38151,126.44,0.0001
50,150,28,6750,90.0,90.0,514,4.607,0.23465,121.19,0.0001
50,100,30,4000,80.0,80.0,126,5.38095,1.01841,128.61,0.0001
50,50,33,1250,50.0,50.0,127,7.33858,0.960709,122.38,0.0001
75,375,34,14250,50.66666666666667,50.66666666666667,5,6.66667,30.124,150.62,0.0001
75,300,38,18000,80.0,80.0,47,4,5.92106,278.46,0.0001
75,225,41,15300,90.66666666666666,90.66666666666666,432,2.79321,0.288195,127.14,0.0001
75,150,45,9000,80.0,80.0,39,3.52137,3.36692,131.52,0.0001
75,75,49,2850,50.66666666666667,50.66666666666667,42,4.92064,2.87905,121.12,0.0001
100,500,45,25000,50.0,50.0,5,5,153.44,767.2,0.0001
100,400,50,32000,80.0,80.0,5,3,32.108,160.54,0.0001
100,300,55,27000,90.0,90.0,199,2,0.614523,122.85,0.0001
100,200,60,16000,80.0,80.0,64,2.89062,7.11422,455.48,0.0001
100,100,65,5000,50.0,50.0,37,4,5.66892,209.95,0.0001
